Date;CowID;CowDiagnosis;HealSchema;HealPrep;HealDays
01.05.2020;DE0360708342;Диарея;Схема №2.4;BET11;4
02.05.2020;RU3101100547582;Диарея;Схема №30.1;ЛИНКОСПК;6
03.05.2020;RU3101090125606;Диарея;Схема №2.4;СУЛЬФИТР;4
07.05.2020;RU3110204123469;Диарея;Схема №30.1;БАЙТРИЛ;6
08.05.2020;RU3101090125606;Диарея;Схема №2.5;БАЙТРИЛ;5
10.05.2020;RU3101100549506;Диарея;Нет схемы;SULFETR;0
10.05.2020;DE0359870791;Диарея;Схема №2.4;BET11;4
10.05.2020;RU3101100549531;Диарея;Схема №30.1;CEFT;6
12.05.2020;RU3110204122967;Диарея;Схема №30.1;ЦЕФТ;6
12.05.2020;RU3101090159281;Диарея;Схема №30.1;ЛИНКОСПК;6
13.05.2020;RU3101100549512;Диарея;Схема №30.2;BENSTR;6
14.05.2020;RU3101090159271;Диарея;Схема №30.1;ЛИНКОСПК;6
15.05.2020;DE0360689541;Диарея;Схема №30.1;ЛИНКОСПК;6
15.05.2020;RU3101100549562;Диарея;Схема №30.2;BENSTR;6
17.05.2020;RU3101100549564;Диарея;Схема №30.2;BENSTR;6
19.05.2020;RU3101090159271;Диарея;Схема №30.1;ЛИНКОСПК;6
19.05.2020;RU3101100549588;Диарея;Схема №30.2;BENSTR;6
20.05.2020;RU3101100549541;Диарея;Схема №30.1;CEFT;6
21.05.2020;RU3101100549604;Диарея;Схема №30.1;CEFT;6
22.05.2020;RU3101100549539;Диарея;Схема №30.1;CEFT;6
24.05.2020;RU3101100549668;Диарея;Схема №30.1;CEFT;6
25.05.2020;RU3101100549674;Диарея;Схема №30.1;CEFT;6
26.05.2020;RU3101100549662;Диарея;Схема №30.1;CEFT;6
29.05.2020;RU3101090127836;Диарея;Схема №2.4;СУЛЬФЕТР;4
02.06.2020;RU3101100549717;Диарея;Схема №30.1;CEFT;6
05.06.2020;DE0360760826;Диарея;Схема №2.4;СУЛЬФЕТР;4
08.06.2020;RU3101100549717;Диарея;Схема №30.1;BENSTR;6
10.06.2020;DE0360760826;Диарея;Схема №2.4;АМОКСИГА;4
11.06.2020;RU3101100549757;Диарея;Схема №30.2;BENSTR;6
11.06.2020;RU3111005016984;Диарея;Схема №30.2;БЕН+АМОК;6
13.06.2020;RU3110204123554;Диарея;Схема №30.1;ЛЕФКОЛ;6
19.06.2020;RU3101100549103;Диарея;Схема №30.2;БЕНСТРЕП;6
21.06.2020;RU3101020412359;Диарея;Схема №30.1;ЛЕФКОЛ;6
22.06.2020;DE0360406706;Диарея;Схема №2.4;BET11;4
27.06.2020;NL0750354291;Диарея;Схема №2.5;BENSTR;5
28.06.2020;RU3101100549857;Диарея;Схема №30.2;BENSTR;6
29.06.2020;RU3101100549893;Диарея;Схема №30.2;BENSTR;6
29.06.2020;RU3110204123607;Диарея;Схема №30.1;ТРОМЕКС;6
29.06.2020;RU3110204123585;Диарея;Схема №30.1;ЛЕФКОЛ;6
30.06.2020;RU3101090157221;Диарея;Нет схемы;ФЛОРВЕТН;0
01.07.2020;RU3101100549149;Диарея;Схема №30.2;БЕНСТРЕП;6
01.07.2020;RU3111005007220;Диарея;Схема №2.4;BET11;4
01.07.2020;RU3101150166743;Диарея;Схема №30.1;ЛИНКОСПК;6
01.07.2020;RU3101100549914;Диарея;Схема №30.2;BENSTR;6
02.07.2020;RU3101100549914;Диарея;Нет схемы;АЗИТРОНИ;0
06.07.2020;RU3101100549893;Диарея;Схема №30.2;BENSTR;6
08.07.2020;RU3101100549914;Диарея;Схема №30.2;BENSTR;6
10.07.2020;RU3101100549163;Диарея;Схема №30.2;БЕНСТРЕП;6
13.07.2020;RU3101100549953;Диарея;Схема №30.2;BENSTR;6
15.07.2020;RU3110204123678;Диарея;Схема №30.1;ЦЕФТ;6
16.07.2020;RU3101100549185;Диарея;Схема №30.1;ЦЕФТ;6
18.07.2020;RU3101100549999;Диарея;Схема №30.2;BENSTR;6
18.07.2020;RU3101100549953;Диарея;Нет схемы;АМОКС;0
21.07.2020;RU3101100546681;Диарея;Схема №30.2;БЕНС;6
22.07.2020;RU3101100549185;Диарея;Схема №30.1;ЦЕФТ;6
24.07.2020;RU3101100549999;Диарея;Нет схемы;АЗИТР;0
25.07.2020;RU3101090116865;Диарея;Схема №2.4;БЕНСТРЕП;4
29.07.2020;RU3101150166786;Диарея;Схема №30.1;ЛИНКОСПК;6
29.07.2020;RU3101100549413;Диарея;Схема №30.1;АМОКС;6
29.07.2020;RU3101090117681;Диарея;Схема №2.4;АМОКСИГА;4
01.08.2020;RU3101100549433;Диарея;Схема №30.1;AMOSK;6
