Date,Farm,MilkingAmount,MilkingTime,MilkingMaxAmount
2020-03-04,Сирень,21645.11,703661,0.0
2020-03-05,Вереск,11963.08,320475,4946.9
2020-03-05,Ромашка,44019.8,1189457,18258.19
2020-03-06,Вереск,14666.61,498009,6639.29
2020-03-06,Ромашка,36661.8,1019724,14908.04
2020-03-07,Вереск,22735.23,643040,9734.49
2020-03-07,Ромашка,54589.3,1454812,22642.16
2020-03-08,Вереск,23047.22,632143,9693.77
2020-03-08,Ромашка,48479.9,1267940,19086.6
2020-03-09,Вереск,30966.7,821012,12511.58
2020-03-09,Ромашка,33214.3,932642,12925.82
2020-03-10,Вереск,28183.72,758927,11608.93
2020-03-10,Ромашка,56815.7,1526315,22574.62
2020-03-11,Ромашка,52948.9,1489206,22051.02
2020-03-11,Вереск,34313.03,1011534,14236.02
2020-03-12,Вереск,22515.67,607918,9590.18
2020-03-12,Ромашка,53952.6,1523105,22693.27
2020-03-12,Сирень,39770.29,1269926,0.0
2020-03-13,Вереск,30235.07,793025,12026.84
2020-03-13,Ромашка,53452.7,1522815,22869.6
2020-03-13,Сирень,39672.39,1247276,0.0
2020-03-14,Вереск,32917.65,938811,14206.85
2020-03-14,Ромашка,36814.1,1084323,14577.83
2020-03-14,Сирень,39759.03,1204306,0.0
2020-03-15,Ромашка,53279.6,1546564,22212.12
2020-03-15,Сирень,34169.64,1043592,0.0
2020-03-15,Вереск,22512.34,663206,9620.58
2020-03-16,Вереск,33443.87,970377,14531.61
2020-03-16,Магнолия,418.2,13920,0.0
2020-03-16,Ромашка,54987.8,1604913,22262.96
2020-03-16,Сирень,35910.43,1083037,0.0
2020-03-17,Вереск,33147.34,939432,13916.43
2020-03-17,Магнолия,608.79,21476,0.0
2020-03-17,Ромашка,56223.3,1651137,23366.91
2020-03-17,Сирень,38144.41,1185350,0.0
2020-03-18,Сирень,41053.6,1255619,0.0
2020-03-18,Вереск,32910.04,960647,13947.66
2020-03-18,Магнолия,574.01,18338,0.0
2020-03-18,Ромашка,36471.1,1092243,13857.06
2020-03-19,Ромашка,51609.7,1537596,20710.4
2020-03-19,Сирень,41684.89,1260879,0.0
2020-03-19,Вереск,33211.63,969777,14162.48
2020-03-19,Магнолия,534.36,17238,0.0
2020-03-20,Вереск,17033.27,496178,7414.38
2020-03-20,Магнолия,492.66,16784,0.0
2020-03-20,Ромашка,54160.9,1585910,21566.75
2020-03-20,Сирень,41473.86,1228184,0.0
2020-03-21,Вереск,37148.79,1062625,15817.74
2020-03-21,Магнолия,489.74,16322,0.0
2020-03-21,Ромашка,30793.2,929765,11926.5
2020-03-21,Сирень,40789.21,1250873,0.0
2020-03-22,Вереск,27320.87,811983,11655.48
2020-03-22,Магнолия,623.05,19646,0.0
2020-03-22,Ромашка,27738.7,796796,9807.86
2020-03-22,Сирень,38716.18,1159664,0.0
2020-03-23,Сирень,37448.61,1150450,0.0
2020-03-23,Ромашка,33209.5,988721,13765.14
2020-03-23,Магнолия,7869.94,270231,0.0
2020-03-23,Вереск,24687.86,691051,10752.42
2020-03-24,Вереск,23874.37,685473,10625.65
2020-03-24,Магнолия,20631.26,685132,0.0
2020-03-24,Ромашка,53597.9,1580168,21707.86
2020-03-24,Сирень,39688.72,1193128,0.0
2020-03-25,Вереск,30592.72,880981,12762.08
2020-03-25,Магнолия,19893.03,658781,0.0
2020-03-25,Ромашка,53186.0,1593322,21298.72
2020-03-25,Сирень,39544.15,1191672,0.0
2020-03-26,Сирень,40494.17,1217003,0.0
2020-03-26,Вереск,26737.84,746453,11298.58
2020-03-26,Магнолия,20288.89,671757,0.0
2020-03-26,Ромашка,53953.6,1674551,21808.23
2020-03-27,Сирень,40740.95,1193291,0.0
2020-03-27,Ромашка,10356.9,377854,2880.04
2020-03-27,Магнолия,19901.45,652632,0.0
2020-03-27,Вереск,37694.98,1079891,15990.52
2020-03-28,Вереск,38582.55,1122344,16001.42
2020-03-28,Магнолия,19135.22,626821,0.0
2020-03-28,Ромашка,54437.4,1638448,22508.03
2020-03-28,Сирень,39954.93,1180904,0.0
2020-03-29,Вереск,26106.79,722649,10827.26
2020-03-29,Магнолия,19684.5,645573,0.0
2020-03-29,Ромашка,59484.7,1781796,23219.39
2020-03-29,Сирень,39103.3,1158529,0.0
2020-03-30,Вереск,36440.9,1030665,15309.44
2020-03-30,Магнолия,19487.73,635377,0.0
2020-03-30,Ромашка,50584.3,1495764,19657.62
2020-03-30,Сирень,38846.42,1126631,0.0
2020-03-31,Сирень,37107.07,1051339,0.0
2020-03-31,Ромашка,50627.1,1502349,21059.89
2020-03-31,Вереск,18659.52,575014,8096.7
2020-03-31,Магнолия,19665.76,640735,0.0
2020-04-01,Вереск,37180.79,1092902,15839.75
2020-04-01,Магнолия,19351.89,628655,0.0
2020-04-01,Ромашка,27601.8,868129,9889.17
2020-04-01,Сирень,34929.91,1033968,0.0
2020-04-02,Вереск,26539.1,791741,10933.3
2020-04-02,Магнолия,19521.46,615915,0.0
2020-04-02,Ромашка,35958.1,1055759,14630.99
2020-04-02,Сирень,38567.05,1116464,0.0
2020-04-03,Магнолия,18735.52,598215,0.0
2020-04-03,Ромашка,56035.8,1743177,22756.75
2020-04-03,Сирень,39272.95,1135214,0.0
2020-04-04,Сирень,39837.75,1143358,0.0
2020-04-04,Ромашка,55680.2,1745703,22502.8
2020-04-04,Магнолия,18941.33,606217,0.0
2020-04-05,Магнолия,18520.98,598063,0.0
2020-04-05,Ромашка,56741.8,1688379,23097.88
2020-04-05,Сирень,38421.41,1101489,0.0
2020-04-06,Магнолия,19293.4,609140,0.0
2020-04-06,Ромашка,39010.4,1221366,14884.96
2020-04-06,Сирень,40438.13,1170383,0.0
2020-04-07,Магнолия,19450.19,603170,0.0
2020-04-07,Ромашка,58278.8,1731188,22900.96
2020-04-07,Сирень,39984.02,1138826,0.0
2020-04-08,Сирень,41695.34,1188014,0.0
2020-04-08,Ромашка,55065.9,1690007,21742.96
