Date;CowID;TimpScheme;TimpPrep;TimpDays
06.08.2019;NL0751186570;Нет схемы;ЧЕМЕРИЦА;0
11.09.2019;RU3101090116847;Нет схемы;ЧЕМЕРИЦА;0
22.09.2019;NL0725739603;Нет схемы;ЧЕМЕРИЦА;0
13.11.2019;RU3111005046068;Нет схемы;ТИМПАНОЛ;0
20.11.2019;RU3101090124801;Нет схемы;ЧЕМЕРИЦА;0
25.11.2019;RU3111005007296;Нет схемы;ТИМПАНОЛ;0
05.12.2019;RU3101020408886;Схема №2.10 Атония;ЧЕМЕРИЦА;3
05.12.2019;RU3110204120904;Схема №2.10 Атония;ЧЕМЕРИЦА;3
19.12.2019;RU3111005007296;Нет схемы;ТИМПАНОЛ;0
20.12.2019;RU3110204130337;Схема №2.9;ТИМПАНОЛ;1
28.12.2019;RU3111005007315;Схема №2.10 Атония;ЧЕМЕРИЦА;3
30.12.2019;RU3110204012874;Схема №2.10 Атония;ЧЕМЕРИЦА;3
31.12.2019;RU3111005007296;Нет схемы;ТИМПАНОЛ;0
01.01.2020;RU3110204130337;Схема №2.10 Атония;ЧЕМЕРИЦА;3
03.01.2020;RU3110204122726;Схема №2.9;ТИМПАНОЛ;1
04.01.2020;RU3111005007047;Схема №2.10 Атония;ЧЕМЕРИЦА;3
06.01.2020;RU3110204121554;Схема №2.10 Атония;ЧЕМЕРИЦА;3
16.01.2020;RU3110204130348;Схема №2.10 Атония;ЧЕМЕРИЦА;3
17.01.2020;RU3111005007296;Нет схемы;ТИМПАНОЛ;0
20.01.2020;RU3101090126694;Схема №2.10 Атония;ЧЕМЕРИЦА;3
20.01.2020;RU3101090128471;Схема №2.10 Атония;ЧЕМЕРИЦА;3
24.01.2020;RU3110204140517;Схема №2.10 Атония;ЧЕМЕРИЦА;3
31.01.2020;RU3110204121546;Схема №2.10 Атония;ЧЕМЕРИЦА;3
06.02.2020;NL0621122646;Схема №2.10 Атония;ЧЕМЕРИЦА;3
07.02.2020;RU3110204120272;Схема №2.10 Атония;ЧЕМЕРИЦА;3
07.02.2020;RU3111005003340;Схема №2.10 Атония;ЧЕМЕРИЦА;3
21.02.2020;RU3110204120774;Схема №2.10 Атония;ЧЕМЕРИЦА;3
25.02.2020;RU3111005007296;Схема №2.10 Атония;ЧЕМЕРИЦА;3
06.03.2020;RU3110204120380;Схема №2.10 Атония;ЧЕМЕРИЦА;3
19.03.2020;RU3110204130810;Схема №2.10 Атония;ЧЕМЕРИЦА;3
28.03.2020;DE0360736987;Схема №2.10 Атония;CHEMERIC;3
23.04.2020;RU3111005017162;Схема №2.10 Атония;CHEMERIC;3
23.04.2020;DE0539104421;Схема №2.10 Атония;CHEMERIC;3
26.04.2020;RU3111005017162;Схема №2.10 Атония;CHEMERIC;3
28.04.2020;RU3101090118420;Схема №2.10 Атония;ЧЕМЕРИЦА;3
29.04.2020;RU3101090118420;Схема №2.10 Атония;ЧЕМЕРИЦА;3
29.04.2020;RU3101090118420;Схема №2.9;ТИМПАНОЛ;1
11.05.2020;RU3101090119490;Схема №2.10 Атония;ЧЕМЕРИЦА;3
29.05.2020;DE1604024543;Схема №2.10 Атония;CHEMERIC;3
04.06.2020;RU3111005007188;Схема №2.10 Атония;CHEMERIC;3
09.06.2020;RU3110204122729;Схема №2.10 Атония;ЧЕМЕРИЦА;3
11.06.2020;RU3111005016984;Схема №2.10 Атония;ЧЕМЕРИЦА;3
09.07.2020;RU3110204120766;Схема №2.9;ТИМПАНОЛ;1
12.07.2020;DE1603799833;Схема №2.10 Атония;CHEMERIC;3
04.09.2020;RU3110204130117;Схема №2.10 Атония;ЧЕМЕРИЦА;3
20.09.2020;DE1603799870;Схема №2.10 Атония;CHEMERIC;3
19.11.2020;RU3111005007534;Схема №2.10 Атония;CHEMERIC;3
25.11.2020;RU3110204140908;Схема №2.10 Атония;ГЛ.СОЛЬ;3
04.12.2020;RU3101090127836;Схема №2.10 Атония;ЧЕМЕРИЦА;3
07.12.2020;RU3101090127836;Схема №2.10 Атония;ЧЕМЕРИЦА;3
24.12.2020;DE0361404329;Схема №2.10 Атония;CHEMERIC;3
24.12.2020;DE0361404329;Нет схемы;CHEMERIC;0
14.01.2021;RU3110204122079;Схема №2.9;ТИМПАНОЛ;1
14.01.2021;RU3110204122079;Схема №2.10 Атония;ЧЕМЕРИЦА;3
06.02.2021;RU3110204121294;Схема №2.10 Атония;ЧЕМЕРИЦА;3
06.02.2021;RU3110204121294;Схема №2.9;ТИМПАНОЛ;1
01.03.2021;RU3101090129814;Схема №2.10 Атония;ЧЕМЕРИЦА;3
05.03.2021;RU3101090126072;Схема №2.10 Атония;ЧЕМЕРИЦА;3
05.03.2021;RU3101090116174;Схема №2.10 Атония;ЧЕМЕРИЦА;3
05.03.2021;RU3101090119267;Схема №2.10 Атония;ЧЕМЕРИЦА;3
09.03.2021;RU3101090129814;Схема №2.10 Атония;ЧЕМЕРИЦА;3
10.03.2021;RU3101150166178;Схема №2.10 Атония;ДРЕНЧ;3
10.03.2021;RU3101090129887;Схема №2.10 Атония;ДРЕНЧ;3
12.03.2021;RU3101090129814;Схема №2.10 Атония;ДРЕНЧ;3
17.03.2021;RU3111005007296;Нет схемы;TIMPANOL;0
19.03.2021;RU3111005007296;Нет схемы;TIMPANOL;0
02.04.2021;RU3101090129548;Схема №2.10 Атония;ЧЕМЕРИЦА;3
02.04.2021;RU3101090117227;Схема №2.10 Атония;ЧЕМЕРИЦА;3
05.04.2021;RU3101090128251;Схема №2.10 Атония;ЧЕМЕРИЦА;3
